term	reading	rank	normalized_form
行動	コウドウ	652	行動
突然	トツゼン	653	突然
友達	トモダチ	654	友達
喜ぶ	ヨロコブ	655	喜ぶ
止まる	トマル	656	止まる
命	イノチ	657	命
自身	ジシン	658	自身
想像	ソウゾウ	659	想像
面白い	オモシロイ	660	面白い
父	チチ	661	父
身	ミ	662	身
渡す	ワタス	663	渡す
名	ナ	664	名
ようやく	ヨウヤク	665	漸く
全員	ゼンイン	666	全員
頃	コロ	667	頃
そもそも	ソモソモ	668	抑
空気	クウキ	669	空気
再び	フタタビ	670	再び
着る	キル	671	着る
母	ハハ	672	母
首	クビ	673	首
美しい	ウツクシイ	674	美しい
一体	イッタイ	675	一体
店	ミセ	676	店
程度	テイド	677	程度
届く	トドク	678	届く
さて	サテ	679	扠
難しい	ムズカシイ	680	難しい
向こう	ムコウ	681	向こう
神	カミ	682	神
気分	キブン	683	気分
耳	ミミ	684	耳
ごめんなさい	ゴメンナサイ	685	ごめんなさい
通り	トオリ	686	通り
ひどい	ヒドイ	687	酷い
むしろ	ムシロ	688	寧ろ
飛ぶ	トブ	689	飛ぶ
眠る	ネムル	690	眠る
仲間	ナカマ	691	仲間
でない	デナイ	692	でない
さすがに	サスガニ	693	さすがに
山	ヤマ	694	山
感情	カンジョウ	695	感情
ぐらい	グライ	696	くらい
結構	ケッコウ	697	結構
すら	スラ	698	すら
危険	キケン	699	危険
以前	イゼン	700	以前
もう一度	モウイチド	703	もう一度
ありがとうございます	アリガトウゴザイマス	704	ありがとうございます
どうぞ	ドウゾ	705	どうぞ
済む	スム	706	済む
とりあえず	トリアエズ	707	取り敢えず
任せる	マカセル	708	任せる
遅い	オソイ	709	遅い
気にする	キニスル	710	気にする
いくら	イクラ	711	幾ら
本気	ホンキ	712	本気
あら	アラ	713	あら
正直	ショウジキ	714	正直
動かす	ウゴカス	715	動かす
事件	ジケン	716	事件
きる	キル	717	切る
そういえば	ソウイエバ	718	そういえば
おりる	オリル	719	下りる
起こす	オコス	720	起こす
周囲	シュウイ	721	周囲
海	ウミ	722	海
すでに	スデニ	723	既に
叫ぶ	サケブ	724	叫ぶ
引く	ヒク	725	引く
返事	ヘンジ	726	返事
逆	ギャク	727	逆
捨てる	ステル	728	捨てる
甘い	アマイ	729	甘い
窓	マド	730	窓
遊ぶ	アソブ	731	遊ぶ
結婚	ケッコン	732	結婚
おお	オオ	733	おお
会話	カイワ	734	会話
戻ってくる	モドッテクル	735	戻ってくる
どうしたの	ドウシタノ	736	どうしたの
邪魔	ジャマ	737	邪魔
腰	コシ	738	腰
その時	ソノトキ	739	その時
うまい	ウマイ	740	旨い
握る	ニギル	741	握る
確か	タシカ	742	確か
いっぱい	イッパイ	743	一杯
部分	ブブン	744	部分
無事	ブジ	745	無事
せっかく	セッカク	746	折角
風	カゼ	747	風
起こる	オコル	748	起こる
であろう	デアロウ	749	であろう
熱い	アツイ	750	熱い
意外	イガイ	751	意外
これ以上	コレイジョウ	752	これ以上
間違いない	マチガイナイ	753	間違いない
流れる	ナガレル	754	流れる
花	ハナ	755	花
涙	ナミダ	756	涙
やってくる	ヤッテクル	757	やってくる
倒れる	タオレル	758	倒れる
人生	ジンセイ	759	人生
一人で	ヒトリデ	760	一人で
もう少し	モウスコシ	761	もう少し
襲う	オソウ	762	襲う
所	トコロ	763	所
料理	リョウリ	764	料理
決して	ケッシテ	765	決して
愛する	アイスル	766	愛する
黒い	クロイ	767	黒い
冷たい	ツメタイ	768	冷たい
合わせる	アワセル	769	合わせる
楽しむ	タノシム	770	楽しむ
自然	シゼン	771	自然
納得	ナットク	772	納得
周り	マワリ	773	周り
どうも	ドウモ	774	どうも
珍しい	メズラシイ	775	珍しい
いいから	イイカラ	776	いいから
どうしても	ドウシテモ	777	どうしても
疲れる	ツカレル	778	疲れる
必死	ヒッシ	779	必死
前に	マエニ	780	前に
内	ナイ	781	内
追う	オウ	782	追う
激しい	ハゲシイ	783	激しい
場	バ	784	場
食う	クウ	785	食う
慣れる	ナレル	786	慣れる
勢い	イキオイ	787	勢い
答え	コタエ	788	答え
落とす	オトス	789	落とす
同時に	ドウジニ	790	同時に
判断	ハンダン	791	判断
横	ヨコ	792	横
町	マチ	793	町
報告	ホウコク	794	報告
食事	ショクジ	795	食事
緊張	キンチョウ	796	緊張
金	カネ	797	金
受け取る	ウケトル	798	受け取る
まずは	マズハ	799	まずは
感謝	カンシャ	800	感謝
者	シャ	802	者
日本	ニホン	803	日本
つい	ツイ	804	つい
並ぶ	ナラブ	805	並ぶ
避ける	サケル	806	避ける
連絡	レンラク	807	連絡
奪う	ウバウ	808	奪う
過ごす	スゴス	809	過ごす
狙う	ネラウ	810	狙う
向く	ムク	811	向く
諦める	アキラメル	812	諦める
足りる	タリル	813	足りる
いろいろ	イロイロ	814	色々
そうする	ソウスル	815	そうする
話をする	ハナシヲスル	816	話をする
望む	ノゾム	817	望む
一応	イチオウ	818	一応
特別	トクベツ	819	特別
救う	スクウ	820	救う
帰ってくる	カエッテクル	821	帰ってくる
時代	ジダイ	822	時代
いらっしゃる	イラッシャル	823	いらっしゃる
いつか	イツカ	824	いつか
終わり	オワリ	825	終わり
語る	カタル	826	語る
繰り返す	クリカエス	827	繰り返す
助かる	タスカル	828	助かる
点	テン	829	点
ところで	トコロデ	830	ところで
運ぶ	ハコブ	831	運ぶ
素直	スナオ	832	素直
よし	ヨシ	833	よし
態度	タイド	834	態度
失敗	シッパイ	835	失敗
とこ	トコ	836	とこ
全く	マッタク	837	全く
木	キ	838	木
それぞれ	ソレゾレ	839	其々
内容	ナイヨウ	840	内容
と言われる	トイワレル	841	と言われる
示す	シメス	842	示す
妙	ミョウ	843	妙
あんまり	アンマリ	844	余り
冗談	ジョウダン	845	冗談
自ら	ミズカラ	846	自ら
低い	ヒクイ	847	低い
わざわざ	ワザワザ	848	態々
そっち	ソッチ	849	其方
雰囲気	フンイキ	850	雰囲気
はっきり	ハッキリ	851	はっきり
移動	イドウ	852	移動
過去	カコ	853	過去
手伝う	テツダウ	854	手伝う
描く	エガク	855	描く
余裕	ヨユウ	856	余裕
なんとか	ナントカ	857	なんとか
出会う	デアウ	858	出会う
と言う	トイウ	859	と言う
みせる	ミセル	860	見せる
やっと	ヤット	861	漸と
嫌い	キライ	862	嫌い
質問	シツモン	863	質問
