normalized_form	reading	senses
びりびり	ビリビリ	(tear) to pieces; (rip) apart; (rip) up; (rip) open|with a rattle; with a shudder; trembling|feeling an electric shock
びしょびしょ	ビショビショ	soaked; drenched; sopping; soppy; wet|incessantly (raining); drizzling
ぴったり	ピッタリ	tightly; closely|exactly; precisely|suddenly (stopping)|perfectly (suited); ideally
びくびく	ビクビク	being afraid of; being fearful; being timid; being nervous|trembling; shivering
ぶらぶら	ブラブラ	dangling; swaying; swinging|(walking) leisurely; aimlessly; strolling; wandering; rambling|idly; lazily; leisurely; aimlessly
ふらふら	フラフラ	unsteadily (e.g. on one's feet); shakily; staggering; tottering; reeling; dizzily; giddily|wavering (in one's mind); unsteadily; indecisively|aimlessly; unconsciously; whimsically; without thinking
ぴんぴん	ピンピン	lively; energetic; full of life|vigorously (jumping, flopping, etc.)|piercing (e.g. sound); penetrating; grating
ぶっきらぼう	ブッキラボウ	curt; blunt; brusque
ぼうっと	ボーット	in a daze; absent-mindedly; vacantly; abstractedly; blankly; idly|dimly; hazily; faintly; vaguely; indistinctly|with a roar (of flames); with a whoosh; flaring up
ぶかぶか	ブカブカ	too large (clothing); baggy; loose-fitting|bulging; warping|parp; toot; blast
ぴかぴか	ピカピカ	with a glitter; with a sparkle|brand new; shiny and new|cleaned (of a plate, etc.); finished
ぶら下がる	ブラサガル	to hang down (from); to dangle; to swing; to be suspended|to be within one's reach; to dangle (before one's eyes)|to be completely reliant on; to be entirely dependent on
へとへと	ヘトヘト	completely exhausted; dead tired; knackered
ぺこぺこ	ペコペコ	very hungry; starving; famished|bowing repeatedly; kowtowing; bowing and scraping; being obsequious; being servile|denting; buckling; giving (in)
ぴりぴり	ピリピリ	with a sting; with a tingle; with a burn; smartingly|nervously; tensely; (while) on edge|with a rip; with a ripping sound; with a tearing sound|with a shrill sound (of a whistle)|quiveringly; tremblingly
ぶるぶる	ブルブル	trembling (with fear, anger, etc.); shivering (with cold); shaking; quivering
ほら	ホラ	look!; see!; here!; there!; hey!
ぼやける	ボヤケル	to become dim; to become blurred
べし	ベキ	should; must; ought to
ほんのり	ホンノリ	slightly; faintly
ふわり	フワリ	softly; gently; lightly
ぶつかる	ブツカル	to bump into; to run into; to collide with; to hit; to strike|to encounter; to meet with; to come upon; to face; to run up against; to be confronted with|to clash (of opinions, people, etc.); to conflict; to be at odds (with)|to clash (of events); to fall (on); to occur at the same time (as)|to tackle head-on (a difficulty); to confront boldly
ぼろぼろ	ボロボロ	worn-out; ragged; tattered; battered; scruffy|crumbling; dry and crumbly|falling (in drops or clumps); scattering|(physically or mentally) worn-out; exhausted|(coming to light) one after another
べたべた	ベタベタ	sticky|thickly (e.g. painted); heavily (applied)|all over (pasting, stamping, etc.)|clinging (e.g. of a person); following around; being all over (each other); flirting|clichéd; hackneyed
ぶつぶつ	ブツブツ	grunt; grumble; complaint; mutter|pimples; spots; eruption; rash|cutting into small pieces|simmering
ぴょんぴょん	ピョンピョン	hopping; skipping; lightly and repeatedly jumping
ぶら下げる	ブラサゲル	to hang; to suspend; to dangle; to swing; to carry
ほっと	ホット	with a feeling of relief; with a sigh of relief|deeply (sigh)
惚ける	ボケ	fool; idiot|dotage; senility; dementia|touched in the head (from); out of it (from); feeling sluggish (from); not yet up to par (after)|funny man (of a comedy duo)
ぺらぺら	ペラペラ	fluently (speaking a foreign language)|incessantly (speaking); glibly; garrulously; volubly|one after the other (flipping through pages)|thin (paper, cloth, etc.); flimsy; weak
ぽたぽた	ポタポタ	dripping; trickling; drop by drop; in drops|wet and heavy (snow, clay, etc.)|(moving) slowly
やくざ	ヤクザ	(member of the) yakuza; gangster; mobster|hoodlum; racketeer; gambler|useless; worthless; good-for-nothing; trashy
ぽかぽか	ポカポカ	pleasantly warm; nice and warm|repeatedly (hitting someone); again and again; over and over
めっきり	メッキリ	remarkably; noticeably; visibly; considerably; perceptibly; appreciably; very much
まあ	マア	just (e.g. "just wait here"); come now; now, now|tolerably; passably; moderately; reasonably; fairly; rather; somewhat|well ...; I think ...; it would seem ...; you might say ...; Hmmm, I guess so ...|oh!; oh dear!; oh, my!; wow!; goodness gracious!; good heavens!
まあまあ	マアマア	so-so; passable; not (so) bad; reasonable|now, now; there, there; there now|my, my; oh my!; dear me!
もっと	モット	(some) more; even more; longer; further
ぼんやり	ボンヤリ	dimly; faintly; indistinctly; vaguely|absentmindedly; vacantly; carelessly; in a spaced out manner|idly; aimlessly|absentmindedness|absentminded person; fool; dunce
