term	reading	rank	part_of_speech
広い	ヒロイ	437	形容詞,一般,*,*,形容詞,終止形-一般
やすい	ヤスイ	438	接尾辞,形容詞的,*,*,形容詞,終止形-一般
自由	ジユウ	439	名詞,普通名詞,形状詞可能,*,*,*
になると	ニナルト	440	助詞+動詞+助詞
ないか	ナイカ	441	形容詞+助詞
原因	ゲンイン	442	名詞,普通名詞,サ変可能,*,*,*
けど	ケド	443	接続詞,*,*,*,*,*
俺	オレ	444	代名詞,*,*,*,*,*
ああ	アア	445	感動詞,一般,*,*,*,*
はい	ハイ	446	感動詞,一般,*,*,*,*
じゃ	ジャ	447	接続詞,*,*,*,*,*
うん	ウン	448	感動詞,一般,*,*,*,*
お前	オマエ	449	代名詞,*,*,*,*,*
彼女	カノジョ	450	代名詞,*,*,*,*,*
みたい	ミタイ	451	形状詞,助動詞語幹,*,*,*,*
大丈夫	ダイジョウブ	452	形状詞,一般,*,*,*,*
ちゃん	チャン	453	接尾辞,名詞的,一般,*,*,*
よね	ヨネ	454	助詞+助詞
わかる	ワカル	455	動詞,一般,*,*,五段-ラ行,終止形-一般
え	エ	456	感動詞,フィラー,*,*,*,*
あっ	アッ	457	感動詞,一般,*,*,*,*
僕	ボク	458	代名詞,*,*,*,*,*
なんか	ナンカ	459	代名詞+助詞
ください	クダサイ	460	動詞,非自立可能,*,*,五段-ラ行,命令形
笑う	ワラウ	461	動詞,一般,*,*,五段-ワア行,終止形-一般
なんだ	ナンダ	462	代名詞+助動詞
じゃあ	ジャア	464	接続詞,*,*,*,*,*
分かる	ワカル	465	動詞,一般,*,*,五段-ラ行,終止形-一般
様	サマ	466	形状詞,助動詞語幹,*,*,*,*
まあ	マア	467	副詞,*,*,*,*,*
だろ	ダロ	468	助動詞,*,*,*,助動詞-ダ,意志推量形
